img,left_15,left_30,left_45,left_60,left_75,right_15,right_30,right_45,right_60,right_75,speed,label,steer
./img_data/img_A01___h_0.jpg,255,278,198,126,84,130,314,192,126,64,0,2,0
./img_data/img_A01___h_10.jpg,255,278,198,126,84,130,314,192,126,64,0,0,5569
./img_data/img_A01___h_20.jpg,256,316,198,126,84,130,112,210,126,64,0,0,5569
./img_data/img_A01___h_30.jpg,256,10000,198,126,84,10000,277,190,126,64,1,0,5569
./img_data/img_A01___h_40.jpg,257,279,198,126,84,122,112,190,126,64,1,0,6140
./img_data/img_A01___h_50.jpg,259,281,199,126,10000,10000,290,198,126,64,2,0,6140
./img_data/img_A01___h_60.jpg,260,117,203,126,84,132,114,198,126,64,2,0,6140
./img_data/img_A01___h_70.jpg,262,284,200,126,84,133,114,199,126,64,3,0,6140
./img_data/img_A01___h_80.jpg,262,284,200,126,10000,133,114,199,126,64,3,0,6140
./img_data/img_A01___h_90.jpg,266,119,202,126,10000,137,287,194,126,64,4,0,6140
./img_data/img_A01___h_100.jpg,268,120,203,126,83,137,117,97,126,64,5,0,6140
./img_data/img_A01___h_110.jpg,271,121,204,126,10000,138,118,98,126,64,5,0,6140
./img_data/img_A01___h_120.jpg,143,121,204,126,10000,10000,118,98,126,64,6,0,6140
./img_data/img_A01___h_130.jpg,278,292,206,126,10000,141,119,99,126,64,6,0,6140
./img_data/img_A01___h_140.jpg,281,292,207,126,10000,144,296,100,126,64,7,0,6140
./img_data/img_A01___h_150.jpg,281,125,208,126,82,143,121,100,126,64,7,0,6140
./img_data/img_A01___h_160.jpg,149,125,212,126,10000,143,121,100,126,64,8,0,6140
./img_data/img_A01___h_170.jpg,149,125,209,126,83,143,121,100,126,64,9,0,6711
./img_data/img_A01___h_180.jpg,149,303,209,126,83,143,121,100,126,64,9,0,6711
./img_data/img_A01___h_190.jpg,149,292,210,126,83,291,121,195,126,64,10,0,6711
./img_data/img_A01___h_200.jpg,149,292,211,126,83,144,121,208,126,64,10,0,6711
./img_data/img_A01___h_210.jpg,236,263,213,126,85,144,121,208,126,64,11,0,6711
./img_data/img_A01___h_220.jpg,149,263,210,126,85,144,121,208,126,64,11,0,6711
./img_data/img_A01___h_230.jpg,149,263,269,126,80,10000,301,211,126,64,12,0,7283
./img_data/img_A01___h_240.jpg,149,264,269,126,84,142,120,250,126,64,13,0,7283
./img_data/img_A01___h_250.jpg,10000,271,269,134,97,142,183,257,126,64,13,0,7283
./img_data/img_A01___h_260.jpg,10000,278,269,133,97,142,183,265,126,64,14,0,7283
./img_data/img_A01___h_270.jpg,10000,280,269,133,97,142,300,271,126,64,14,0,7283
./img_data/img_A01___h_280.jpg,150,10000,269,133,10000,142,185,271,126,64,15,0,7854
./img_data/img_A01___h_290.jpg,150,303,247,133,96,142,120,271,126,64,15,0,8425
./img_data/img_A01___h_300.jpg,150,303,247,133,96,142,120,271,126,64,16,0,8996
./img_data/img_A01___h_310.jpg,288,183,259,133,88,141,120,271,126,64,17,0,8996
./img_data/img_A01___h_320.jpg,294,193,246,126,83,141,180,271,126,64,17,0,9567
./img_data/img_A01___h_330.jpg,295,193,246,126,83,141,180,271,126,64,18,0,9567
./img_data/img_A01___h_340.jpg,307,303,245,126,86,10000,178,243,126,64,18,0,8996
./img_data/img_A01___h_350.jpg,314,303,245,126,93,10000,286,243,126,64,19,0,9567
./img_data/img_A01___h_360.jpg,10000,303,245,126,10000,10000,296,244,126,64,19,0,9567
./img_data/img_A01___h_370.jpg,10000,303,246,126,10000,140,296,244,126,64,20,0,9567
./img_data/img_A01___h_380.jpg,10000,303,246,126,10000,140,296,244,126,64,20,0,8996
./img_data/img_A01___h_390.jpg,248,303,247,126,83,10000,300,245,126,64,21,0,8996
./img_data/img_A01___h_400.jpg,10000,319,245,133,87,10000,299,248,94,63,22,0,9567
./img_data/img_A01___h_410.jpg,247,299,245,129,83,236,299,248,126,63,22,0,9567
./img_data/img_A01___h_420.jpg,247,298,246,129,83,236,299,248,126,63,23,0,8996
./img_data/img_A01___h_430.jpg,10000,312,245,129,83,237,298,251,93,63,23,0,9567
./img_data/img_A01___h_440.jpg,243,10000,245,133,97,234,292,250,125,63,24,0,9567
./img_data/img_A01___h_450.jpg,254,314,248,133,97,243,308,261,125,63,24,0,9567
./img_data/img_A01___h_460.jpg,10000,10000,245,133,88,229,306,159,92,63,25,0,9567
./img_data/img_A01___h_470.jpg,10000,310,247,125,88,242,312,245,125,63,26,0,9567
./img_data/img_A01___h_480.jpg,10000,310,247,125,88,245,10000,245,92,63,26,0,9567
./img_data/img_A01___h_490.jpg,10000,10000,206,125,88,10000,10000,191,125,64,27,0,9567
./img_data/img_A01___h_500.jpg,10000,10000,209,125,81,10000,316,245,125,64,27,0,9567
./img_data/img_A01___h_510.jpg,10000,10000,206,125,87,10000,10000,193,125,64,28,0,9567
./img_data/img_A01___h_520.jpg,10000,261,206,125,86,10000,10000,193,125,64,28,0,9567
