img,left_15,left_30,left_45,left_60,left_75,right_15,right_30,right_45,right_60,right_75,speed,label,steer
./img_data/img_A01_eddieman_0.jpg,253,276,200,125,10000,131,113,197,125,64,0,2,0
./img_data/img_A01_eddieman_10.jpg,253,276,200,125,10000,131,113,197,125,64,0,0,0
./img_data/img_A01_eddieman_20.jpg,254,10000,200,125,10000,10000,113,192,133,64,0,0,0
./img_data/img_A01_eddieman_30.jpg,254,10000,200,125,10000,10000,113,192,133,64,0,0,0
./img_data/img_A01_eddieman_40.jpg,255,278,197,125,10000,10000,10000,192,133,64,1,0,0
./img_data/img_A01_eddieman_50.jpg,255,278,197,125,10000,10000,10000,192,133,64,1,0,0
./img_data/img_A01_eddieman_60.jpg,257,10000,198,128,10000,133,114,192,133,64,2,0,0
./img_data/img_A01_eddieman_70.jpg,257,10000,198,128,10000,133,114,192,133,64,2,0,0
./img_data/img_A01_eddieman_80.jpg,260,283,199,128,10000,135,116,199,126,64,3,0,0
./img_data/img_A01_eddieman_90.jpg,263,314,200,128,84,10000,117,193,126,64,4,0,0
./img_data/img_A01_eddieman_100.jpg,223,118,201,126,82,138,289,193,126,64,5,0,0
./img_data/img_A01_eddieman_110.jpg,269,119,202,126,84,141,10000,193,126,64,5,0,0
./img_data/img_A01_eddieman_120.jpg,227,294,203,126,10000,141,120,203,126,64,6,0,0
./img_data/img_A01_eddieman_130.jpg,274,293,204,126,10000,10000,121,100,126,63,6,0,0
./img_data/img_A01_eddieman_140.jpg,145,291,206,126,10000,143,122,194,126,63,7,0,0
./img_data/img_A01_eddieman_150.jpg,278,291,206,126,10000,10000,123,194,126,63,7,0,0
./img_data/img_A01_eddieman_160.jpg,278,123,207,126,10000,145,123,194,126,64,8,0,0
./img_data/img_A01_eddieman_170.jpg,278,123,207,126,10000,145,301,194,126,64,9,0,0
./img_data/img_A01_eddieman_180.jpg,279,123,215,126,10000,145,123,194,126,64,9,0,0
./img_data/img_A01_eddieman_190.jpg,280,301,208,126,10000,295,302,194,126,64,10,0,0
./img_data/img_A01_eddieman_200.jpg,281,301,212,126,10000,145,297,210,126,63,10,0,0
./img_data/img_A01_eddieman_210.jpg,283,291,209,126,10000,307,297,204,126,63,11,0,0
./img_data/img_A01_eddieman_220.jpg,285,261,210,126,87,144,10000,214,126,63,11,0,0
./img_data/img_A01_eddieman_230.jpg,294,261,212,126,87,144,122,255,126,63,12,0,0
./img_data/img_A01_eddieman_240.jpg,146,261,262,126,87,144,183,268,126,64,13,0,0
./img_data/img_A01_eddieman_250.jpg,146,262,269,126,10000,146,183,268,126,64,13,0,0
./img_data/img_A01_eddieman_260.jpg,10000,269,269,126,10000,144,284,268,126,64,14,0,0
./img_data/img_A01_eddieman_270.jpg,10000,187,269,126,85,145,185,268,126,64,14,0,0
./img_data/img_A01_eddieman_280.jpg,283,185,269,126,83,145,284,268,126,63,15,0,0
./img_data/img_A01_eddieman_290.jpg,146,290,269,126,83,145,187,268,126,63,15,0,0
./img_data/img_A01_eddieman_300.jpg,146,301,269,129,84,145,284,268,126,63,16,0,0
./img_data/img_A01_eddieman_310.jpg,279,182,244,129,92,145,182,245,126,63,17,0,0
