img,left_15,left_30,left_45,left_60,left_75,right_15,right_30,right_45,right_60,right_75,speed,label,steer
./img_data/img_A01_lorenz_0.jpg,251,274,195,124,83,132,114,191,125,64,0,2,0
./img_data/img_A01_lorenz_10.jpg,251,274,195,124,83,132,114,191,125,64,0,0,9023
./img_data/img_A01_lorenz_20.jpg,251,288,195,124,10000,132,114,191,125,64,0,0,9023
./img_data/img_A01_lorenz_30.jpg,251,288,195,124,10000,132,114,191,125,64,0,0,9023
./img_data/img_A01_lorenz_40.jpg,252,276,201,124,83,133,114,199,125,64,1,0,9561
./img_data/img_A01_lorenz_50.jpg,252,276,201,124,83,133,114,199,125,64,1,0,9561
./img_data/img_A01_lorenz_60.jpg,255,278,196,124,83,134,115,199,125,64,2,0,9561
./img_data/img_A01_lorenz_70.jpg,255,278,196,124,83,134,115,199,125,64,2,0,9561
./img_data/img_A01_lorenz_80.jpg,257,280,197,125,10000,137,116,200,125,64,3,0,9561
./img_data/img_A01_lorenz_90.jpg,261,284,199,125,90,138,286,192,125,64,4,0,10099
./img_data/img_A01_lorenz_100.jpg,263,116,200,125,81,139,118,219,125,64,5,0,10099
./img_data/img_A01_lorenz_110.jpg,266,289,201,125,90,140,119,203,125,64,5,0,10099
./img_data/img_A01_lorenz_120.jpg,269,314,202,125,90,141,120,205,125,64,6,0,10099
./img_data/img_A01_lorenz_130.jpg,271,294,206,125,82,144,121,205,125,64,6,0,10099
./img_data/img_A01_lorenz_140.jpg,274,289,207,125,10000,144,122,193,125,64,7,0,10099
./img_data/img_A01_lorenz_150.jpg,276,290,205,125,84,145,299,206,125,64,7,0,10099
./img_data/img_A01_lorenz_160.jpg,231,290,206,125,10000,145,300,206,125,64,8,0,10099
./img_data/img_A01_lorenz_170.jpg,277,122,206,125,10000,145,296,207,125,64,8,0,10099
./img_data/img_A01_lorenz_180.jpg,278,290,207,125,91,145,123,208,125,64,9,0,10099
./img_data/img_A01_lorenz_190.jpg,278,290,207,125,10000,145,296,208,125,64,10,0,10099
./img_data/img_A01_lorenz_200.jpg,145,289,208,125,10000,144,10000,209,125,64,10,0,10099
./img_data/img_A01_lorenz_210.jpg,231,299,209,125,10000,144,122,210,125,64,11,0,10099
./img_data/img_A01_lorenz_220.jpg,293,260,210,125,10000,144,122,211,125,64,11,0,10099
./img_data/img_A01_lorenz_230.jpg,231,260,212,125,10000,144,122,251,125,64,12,0,10099
./img_data/img_A01_lorenz_240.jpg,302,183,267,125,10000,143,183,258,125,64,12,0,10099
./img_data/img_A01_lorenz_250.jpg,10000,265,267,125,87,143,183,268,125,64,13,0,10099
./img_data/img_A01_lorenz_260.jpg,10000,271,267,125,87,143,298,268,125,64,14,0,10099
./img_data/img_A01_lorenz_270.jpg,285,280,267,125,10000,143,185,268,125,64,14,0,10099
./img_data/img_A01_lorenz_280.jpg,278,186,267,125,82,143,288,268,125,64,15,0,10099
./img_data/img_A01_lorenz_290.jpg,274,299,267,125,82,309,182,268,125,64,15,0,10099
./img_data/img_A01_lorenz_300.jpg,277,182,245,133,85,142,186,268,125,64,16,0,10099
./img_data/img_A01_lorenz_310.jpg,282,182,245,133,83,142,282,268,125,64,16,0,10099
./img_data/img_A01_lorenz_320.jpg,293,187,257,132,88,142,120,243,125,64,17,0,10099
./img_data/img_A01_lorenz_330.jpg,293,300,243,132,84,142,180,243,125,64,18,0,10099
./img_data/img_A01_lorenz_340.jpg,300,299,243,132,99,141,178,243,125,64,18,0,10099
./img_data/img_A01_lorenz_350.jpg,10000,300,243,132,79,10000,294,246,125,64,19,0,10099
./img_data/img_A01_lorenz_360.jpg,10000,300,243,132,79,10000,294,251,125,64,19,0,10099
./img_data/img_A01_lorenz_370.jpg,10000,10000,244,125,86,140,313,250,94,64,20,0,10099
./img_data/img_A01_lorenz_380.jpg,10000,313,245,124,86,140,10000,250,125,64,20,0,10099
./img_data/img_A01_lorenz_390.jpg,10000,313,245,124,86,140,10000,255,125,64,21,0,10099
./img_data/img_A01_lorenz_400.jpg,246,299,243,124,84,10000,298,245,124,64,22,0,10099
./img_data/img_A01_lorenz_410.jpg,244,298,243,124,10000,235,313,248,93,64,22,0,10099
./img_data/img_A01_lorenz_420.jpg,248,290,244,124,82,235,313,247,93,64,23,0,10099
./img_data/img_A01_lorenz_430.jpg,242,314,245,124,87,10000,294,259,92,64,23,0,10099
./img_data/img_A01_lorenz_440.jpg,240,311,244,124,87,230,286,244,124,63,24,0,10099
./img_data/img_A01_lorenz_450.jpg,257,10000,244,124,83,229,307,193,124,63,24,0,10099
./img_data/img_A01_lorenz_460.jpg,10000,315,204,124,80,225,292,193,91,63,25,0,10099
./img_data/img_A01_lorenz_470.jpg,10000,10000,243,124,80,225,307,243,91,63,26,0,10099
./img_data/img_A01_lorenz_480.jpg,10000,310,204,124,85,243,292,243,90,63,26,0,10099
./img_data/img_A01_lorenz_490.jpg,10000,309,204,124,85,10000,10000,190,124,63,27,0,10099
./img_data/img_A01_lorenz_500.jpg,10000,10000,204,127,83,10000,10000,189,124,63,27,0,10099
./img_data/img_A01_lorenz_510.jpg,10000,315,207,124,88,10000,10000,189,124,63,28,0,10099
./img_data/img_A01_lorenz_520.jpg,10000,316,207,124,88,10000,265,189,124,63,28,0,10099
./img_data/img_A01_lorenz_530.jpg,10000,10000,204,123,83,10000,311,188,124,63,29,0,10099
./img_data/img_A01_lorenz_540.jpg,10000,10000,204,123,86,10000,10000,188,124,63,30,0,10099
./img_data/img_A01_lorenz_550.jpg,10000,10000,204,123,10000,10000,10000,188,124,63,30,0,10099
./img_data/img_A01_lorenz_560.jpg,10000,249,204,123,10000,10000,10000,149,123,63,31,0,10099
./img_data/img_A01_lorenz_570.jpg,10000,10000,204,123,89,10000,10000,188,123,63,31,0,10637
./img_data/img_A01_lorenz_580.jpg,10000,315,207,123,89,10000,254,187,123,63,32,0,10637
./img_data/img_A01_lorenz_590.jpg,10000,10000,207,123,87,10000,10000,146,123,63,32,0,10637
./img_data/img_A01_lorenz_600.jpg,10000,10000,141,123,10000,10000,305,187,123,63,33,0,10637
./img_data/img_A01_lorenz_610.jpg,10000,10000,205,123,92,10000,301,187,123,63,33,0,10637
./img_data/img_A01_lorenz_620.jpg,10000,10000,137,123,88,10000,301,141,123,63,34,0,10637
./img_data/img_A01_lorenz_630.jpg,10000,10000,205,123,88,10000,301,242,123,63,35,0,10637
./img_data/img_A01_lorenz_640.jpg,10000,10000,137,123,91,10000,10000,186,123,63,35,0,11176
./img_data/img_A01_lorenz_650.jpg,10000,10000,205,123,85,10000,302,189,123,63,36,0,10637
./img_data/img_A01_lorenz_660.jpg,10000,10000,205,123,85,10000,279,243,123,63,36,0,10637
