img,left_15,left_30,left_45,left_60,left_75,right_15,right_30,right_45,right_60,right_75,speed,label,steer
./img_data/img_A01_rollin_0.jpg,255,277,197,126,10000,283,277,197,126,64,0,2,0
./img_data/img_A01_rollin_10.jpg,255,277,197,126,10000,283,277,197,126,64,0,0,0
./img_data/img_A01_rollin_20.jpg,255,277,197,126,10000,133,277,215,126,64,0,0,0
./img_data/img_A01_rollin_30.jpg,255,278,197,126,82,10000,10000,193,126,64,1,0,0
./img_data/img_A01_rollin_40.jpg,215,279,203,126,10000,124,114,193,126,64,1,0,1821
./img_data/img_A01_rollin_50.jpg,257,313,198,126,10000,125,114,193,126,64,2,0,1295
./img_data/img_A01_rollin_60.jpg,135,115,198,126,84,134,10000,193,126,64,2,0,2348
./img_data/img_A01_rollin_70.jpg,259,282,199,126,86,135,283,193,126,64,3,0,2348
./img_data/img_A01_rollin_80.jpg,220,285,200,126,84,137,116,193,126,64,3,0,2874
./img_data/img_A01_rollin_90.jpg,263,10000,201,126,84,137,117,194,126,64,4,0,3401
./img_data/img_A01_rollin_100.jpg,223,118,201,126,10000,138,289,194,126,64,5,0,3927
./img_data/img_A01_rollin_110.jpg,269,119,203,126,10000,10000,10000,194,126,64,5,0,4454
./img_data/img_A01_rollin_120.jpg,227,294,203,126,10000,10000,120,203,126,64,6,0,5507
./img_data/img_A01_rollin_130.jpg,143,296,204,126,10000,142,121,100,126,64,6,0,5507
./img_data/img_A01_rollin_140.jpg,145,299,205,126,10000,143,122,204,126,64,7,0,6034
./img_data/img_A01_rollin_150.jpg,280,292,206,126,10000,145,123,205,126,64,7,0,6560
./img_data/img_A01_rollin_160.jpg,280,292,207,126,82,145,123,195,126,64,8,0,6560
./img_data/img_A01_rollin_170.jpg,280,292,208,126,82,145,303,195,126,64,9,0,6560
./img_data/img_A01_rollin_180.jpg,234,292,208,126,82,145,303,195,126,64,9,0,7087
./img_data/img_A01_rollin_190.jpg,281,292,216,126,87,136,295,195,126,64,10,0,7087
./img_data/img_A01_rollin_200.jpg,281,292,209,126,10000,145,123,195,126,64,10,0,7087
./img_data/img_A01_rollin_210.jpg,283,292,210,126,10000,145,123,195,126,64,11,0,7087
./img_data/img_A01_rollin_220.jpg,285,295,211,126,83,145,298,195,126,64,11,0,8140
./img_data/img_A01_rollin_230.jpg,296,262,213,126,83,144,298,214,126,64,12,0,8140
./img_data/img_A01_rollin_240.jpg,147,263,269,126,85,144,122,254,126,64,13,0,8140
./img_data/img_A01_rollin_250.jpg,147,185,269,126,84,143,188,262,126,64,13,0,7613
./img_data/img_A01_rollin_260.jpg,234,271,269,126,84,144,301,270,126,64,14,0,7613
./img_data/img_A01_rollin_270.jpg,234,187,269,126,92,144,286,270,126,64,14,0,7613
./img_data/img_A01_rollin_280.jpg,284,285,269,126,79,143,187,270,126,64,15,0,7613
./img_data/img_A01_rollin_290.jpg,148,301,269,126,79,144,122,270,126,64,15,0,7613
./img_data/img_A01_rollin_300.jpg,279,183,246,126,95,143,122,270,126,64,16,0,7613
./img_data/img_A01_rollin_310.jpg,284,183,246,132,95,143,121,270,126,64,17,0,7613
./img_data/img_A01_rollin_320.jpg,289,181,247,133,88,143,121,243,126,64,17,0,7613
./img_data/img_A01_rollin_330.jpg,296,181,248,133,99,143,181,244,126,64,18,0,7613
./img_data/img_A01_rollin_340.jpg,303,10000,260,133,99,10000,188,245,126,64,18,0,7613
./img_data/img_A01_rollin_350.jpg,310,10000,245,133,86,10000,301,245,96,64,19,0,7613
./img_data/img_A01_rollin_360.jpg,10000,10000,245,133,86,10000,292,246,126,64,19,0,7613
./img_data/img_A01_rollin_370.jpg,10000,303,245,133,97,10000,301,246,126,64,20,0,7613
./img_data/img_A01_rollin_380.jpg,10000,303,245,133,85,142,301,253,126,64,21,0,7613
./img_data/img_A01_rollin_390.jpg,10000,303,245,133,10000,141,297,249,95,64,21,0,7613
./img_data/img_A01_rollin_400.jpg,246,302,246,133,10000,141,296,251,126,64,22,0,7613
./img_data/img_A01_rollin_410.jpg,246,301,246,133,98,10000,316,259,126,63,22,0,7613
./img_data/img_A01_rollin_420.jpg,10000,292,245,129,87,237,299,259,126,63,23,0,7613
./img_data/img_A01_rollin_430.jpg,237,310,245,129,87,247,298,248,126,63,23,0,7613
./img_data/img_A01_rollin_440.jpg,237,311,246,129,10000,242,292,246,126,63,24,0,8666
./img_data/img_A01_rollin_450.jpg,246,10000,247,129,85,244,310,195,126,63,24,0,8666
./img_data/img_A01_rollin_460.jpg,260,312,245,133,83,230,304,245,92,63,25,0,8666
./img_data/img_A01_rollin_470.jpg,10000,10000,246,133,86,245,319,192,125,63,26,0,8666
./img_data/img_A01_rollin_480.jpg,10000,10000,245,125,88,10000,317,245,125,63,26,0,8666
./img_data/img_A01_rollin_490.jpg,10000,310,245,125,83,10000,10000,245,125,63,27,0,8666
./img_data/img_A01_rollin_500.jpg,10000,310,248,125,81,10000,314,245,91,63,27,0,8666
./img_data/img_A01_rollin_510.jpg,10000,263,248,125,101,10000,268,191,125,64,28,0,8666
