img,left_15,left_30,left_45,left_60,left_75,right_15,right_30,right_45,right_60,right_75,speed,label,steer
./img_data/img_A03_keido_0.jpg,132,277,197,129,74,132,113,95,127,74,0,2,0
./img_data/img_A03_keido_10.jpg,132,277,197,129,74,132,113,95,127,74,0,0,0
./img_data/img_A03_keido_20.jpg,255,277,197,129,74,132,113,95,127,74,0,0,0
./img_data/img_A03_keido_30.jpg,255,278,197,129,74,132,278,95,127,74,1,0,0
./img_data/img_A03_keido_40.jpg,133,313,197,129,74,132,114,190,132,74,1,0,0
./img_data/img_A03_keido_50.jpg,257,114,198,129,74,134,114,193,132,74,2,0,0
./img_data/img_A03_keido_60.jpg,259,115,199,129,68,135,115,193,132,74,2,0,0
./img_data/img_A03_keido_70.jpg,136,116,199,129,68,136,284,193,144,74,3,0,0
./img_data/img_A03_keido_80.jpg,137,117,200,129,68,136,10000,191,144,74,3,0,0
./img_data/img_A03_keido_90.jpg,265,118,201,129,68,138,118,98,153,74,4,0,0
./img_data/img_A03_keido_100.jpg,267,291,202,129,74,139,118,194,153,74,5,0,0
./img_data/img_A03_keido_110.jpg,141,289,99,129,74,140,119,99,151,74,5,0,0
./img_data/img_A03_keido_120.jpg,274,296,100,129,68,142,318,100,149,74,6,0,0
./img_data/img_A03_keido_130.jpg,144,122,206,129,68,143,121,192,151,74,6,0,0
./img_data/img_A03_keido_140.jpg,146,301,210,129,73,145,123,101,151,74,7,0,0
./img_data/img_A03_keido_150.jpg,280,10000,210,129,68,146,123,195,128,74,7,0,0
./img_data/img_A03_keido_160.jpg,280,123,208,145,68,146,123,195,128,74,8,0,0
./img_data/img_A03_keido_170.jpg,280,123,208,145,68,146,123,195,128,74,9,0,-802
./img_data/img_A03_keido_180.jpg,280,123,208,145,68,146,123,195,128,74,9,0,-802
./img_data/img_A03_keido_190.jpg,280,123,208,129,68,146,123,195,128,74,10,0,-1476
./img_data/img_A03_keido_200.jpg,281,123,209,129,68,146,123,195,128,74,10,0,-1476
./img_data/img_A03_keido_210.jpg,284,123,210,129,68,146,123,195,128,74,11,0,-1476
./img_data/img_A03_keido_220.jpg,146,123,196,129,68,146,123,192,128,74,11,0,-2014
./img_data/img_A03_keido_230.jpg,146,123,211,129,74,146,123,192,128,74,12,0,-2014
./img_data/img_A03_keido_240.jpg,146,188,10000,129,74,146,185,198,128,74,13,0,-2014
./img_data/img_A03_keido_250.jpg,146,264,10000,129,75,146,184,198,128,74,13,0,-2586
./img_data/img_A03_keido_260.jpg,146,187,10000,129,75,146,184,198,128,74,14,0,-2586
./img_data/img_A03_keido_270.jpg,146,278,10000,129,75,146,187,198,128,74,14,0,-2586
./img_data/img_A03_keido_280.jpg,146,123,10000,129,75,146,123,198,128,74,15,0,-2586
./img_data/img_A03_keido_290.jpg,145,123,10000,129,75,146,123,198,128,74,15,0,-2586
./img_data/img_A03_keido_300.jpg,146,123,10000,129,75,146,123,197,128,74,16,0,-2586
./img_data/img_A03_keido_310.jpg,146,123,245,129,64,146,123,197,128,74,17,0,-2586
./img_data/img_A03_keido_320.jpg,145,123,245,129,64,146,123,197,128,74,17,0,-2586
./img_data/img_A03_keido_330.jpg,145,189,246,129,64,146,191,197,128,75,18,0,-2586
./img_data/img_A03_keido_340.jpg,299,301,246,129,64,10000,292,198,128,75,18,0,-2586
./img_data/img_A03_keido_350.jpg,305,301,247,129,64,10000,292,197,128,75,19,0,-2586
./img_data/img_A03_keido_360.jpg,10000,301,247,129,64,147,292,197,150,75,19,0,-2586
./img_data/img_A03_keido_370.jpg,10000,301,259,129,64,147,292,196,150,75,20,0,-3179
./img_data/img_A03_keido_380.jpg,145,301,247,129,64,146,292,197,149,76,21,0,-3179
./img_data/img_A03_keido_390.jpg,144,296,246,129,64,147,292,193,94,76,21,0,-3179
./img_data/img_A03_keido_400.jpg,240,301,246,129,64,242,301,203,150,77,22,0,-3179
./img_data/img_A03_keido_410.jpg,239,299,220,129,64,240,317,195,132,77,22,0,-3179
./img_data/img_A03_keido_420.jpg,245,316,220,93,64,240,312,161,132,77,23,0,-3179
./img_data/img_A03_keido_430.jpg,245,290,220,129,64,245,318,194,132,77,23,0,-3179
./img_data/img_A03_keido_440.jpg,235,316,245,128,75,238,294,194,132,62,24,0,-3179
./img_data/img_A03_keido_450.jpg,236,310,245,128,75,238,294,191,132,62,25,0,-3179
./img_data/img_A03_keido_460.jpg,246,10000,247,128,64,253,294,158,132,62,25,0,-3179
./img_data/img_A03_keido_470.jpg,247,10000,246,128,64,254,294,158,132,62,26,0,-3179
./img_data/img_A03_keido_480.jpg,10000,316,244,128,75,10000,315,195,127,62,26,0,-3179
./img_data/img_A03_keido_490.jpg,10000,310,245,128,75,10000,10000,192,127,62,27,0,-3179
./img_data/img_A03_keido_500.jpg,10000,10000,245,128,75,10000,312,202,127,62,27,0,-3179
./img_data/img_A03_keido_510.jpg,10000,308,244,128,75,10000,308,190,127,62,28,0,-3179
./img_data/img_A03_keido_520.jpg,10000,314,192,128,75,10000,10000,190,127,62,28,0,-3179
./img_data/img_A03_keido_530.jpg,10000,10000,192,128,75,10000,291,190,127,62,29,0,-3731
./img_data/img_A03_keido_540.jpg,10000,10000,192,128,75,10000,289,189,127,62,30,0,-3731
./img_data/img_A03_keido_550.jpg,10000,315,191,128,75,10000,289,189,127,62,30,0,-3731
./img_data/img_A03_keido_560.jpg,10000,310,191,128,75,10000,254,189,127,62,31,0,-3731
./img_data/img_A03_keido_570.jpg,10000,10000,192,128,75,10000,253,147,127,62,31,0,-3731
./img_data/img_A03_keido_580.jpg,10000,10000,192,128,75,10000,287,146,127,62,32,0,-3731
./img_data/img_A03_keido_590.jpg,10000,10000,191,128,75,10000,288,190,127,62,32,0,-3731
./img_data/img_A03_keido_600.jpg,10000,10000,191,128,75,10000,288,143,127,62,33,0,-3731
./img_data/img_A03_keido_610.jpg,10000,315,191,128,75,10000,287,142,127,62,34,0,-4314
./img_data/img_A03_keido_620.jpg,10000,10000,244,128,75,10000,287,140,127,74,34,0,-4314
./img_data/img_A03_keido_630.jpg,10000,10000,190,128,68,10000,317,139,127,62,35,0,-4314
./img_data/img_A03_keido_640.jpg,10000,10000,190,128,68,10000,235,137,127,74,35,0,-4314
./img_data/img_A03_keido_650.jpg,10000,10000,190,128,64,10000,317,186,127,74,36,0,-4859
./img_data/img_A03_keido_660.jpg,10000,10000,208,128,64,10000,230,134,127,74,36,0,-4859
./img_data/img_A03_keido_670.jpg,10000,10000,208,128,64,10000,227,132,132,76,37,0,-4859
./img_data/img_A03_keido_680.jpg,10000,10000,132,128,68,10000,223,133,132,74,38,0,-4859
./img_data/img_A03_keido_690.jpg,10000,10000,130,129,74,10000,313,188,132,63,38,0,-4859
./img_data/img_A03_keido_700.jpg,10000,10000,217,129,68,10000,218,188,128,63,39,0,-4859
./img_data/img_A03_keido_710.jpg,10000,10000,220,129,68,10000,215,188,128,63,39,0,-4859
./img_data/img_A03_keido_720.jpg,10000,10000,209,129,68,10000,211,188,151,74,40,0,-4859
./img_data/img_A03_keido_730.jpg,10000,10000,209,129,68,10000,208,188,189,62,40,0,-4859
./img_data/img_A03_keido_740.jpg,10000,10000,216,129,73,10000,204,188,209,74,41,0,-4859
./img_data/img_A03_keido_750.jpg,10000,10000,210,130,85,10000,201,188,129,75,42,0,-4859
./img_data/img_A03_keido_760.jpg,10000,10000,216,130,74,10000,197,217,216,66,42,0,-4859
./img_data/img_A03_keido_770.jpg,10000,10000,216,130,74,10000,197,217,211,66,43,0,-4859
./img_data/img_A03_keido_780.jpg,10000,10000,212,131,69,10000,189,189,130,64,43,0,-4859
./img_data/img_A03_keido_790.jpg,10000,10000,212,131,69,10000,187,189,196,77,44,0,-4859
./img_data/img_A03_keido_800.jpg,10000,10000,221,131,84,10000,180,190,131,78,45,0,-4859
./img_data/img_A03_keido_810.jpg,10000,10000,214,132,87,10000,180,190,136,65,45,0,-4859
./img_data/img_A03_keido_820.jpg,10000,176,215,133,70,10000,10000,191,172,76,46,0,-4859
./img_data/img_A03_keido_830.jpg,10000,171,216,133,75,10000,317,191,133,64,46,0,-4859
./img_data/img_A03_keido_840.jpg,10000,167,217,134,85,10000,318,192,138,82,47,0,-4859
./img_data/img_A03_keido_850.jpg,10000,10000,218,134,74,319,320,221,134,68,48,0,-4859
./img_data/img_A03_keido_860.jpg,10000,10000,219,135,71,304,313,193,176,65,48,0,-4859
