img,left_15,left_30,left_45,left_60,left_75,right_15,right_30,right_45,right_60,right_75,speed,label,steer
./img_data/img_A03_kripke_0.jpg,132,277,197,129,74,132,113,95,127,74,0,2,0
./img_data/img_A03_kripke_10.jpg,132,277,197,129,74,132,113,95,127,74,0,0,0
./img_data/img_A03_kripke_20.jpg,255,277,197,129,74,132,113,95,127,74,0,0,0
./img_data/img_A03_kripke_30.jpg,255,277,197,129,74,132,113,95,127,74,0,0,0
./img_data/img_A03_kripke_40.jpg,133,313,197,129,74,132,114,190,132,74,1,0,0
./img_data/img_A03_kripke_50.jpg,257,114,198,129,74,134,114,193,132,74,2,0,0
./img_data/img_A03_kripke_60.jpg,135,115,199,129,68,135,115,96,132,74,2,0,0
./img_data/img_A03_kripke_70.jpg,260,116,199,129,68,135,116,193,132,74,3,0,0
./img_data/img_A03_kripke_80.jpg,262,116,195,129,68,136,116,97,144,74,3,0,0
./img_data/img_A03_kripke_90.jpg,263,117,201,129,68,137,117,194,153,74,4,0,0
./img_data/img_A03_kripke_100.jpg,139,118,98,129,68,138,118,98,153,74,5,0,0
./img_data/img_A03_kripke_110.jpg,141,289,99,129,74,140,119,99,151,74,5,0,0
./img_data/img_A03_kripke_120.jpg,274,296,100,129,68,142,318,100,149,74,6,0,0
./img_data/img_A03_kripke_130.jpg,274,296,100,129,68,142,296,100,149,74,6,0,0
./img_data/img_A03_kripke_140.jpg,146,301,210,129,73,145,123,101,151,74,7,0,0
./img_data/img_A03_kripke_150.jpg,146,123,207,129,73,145,123,195,151,74,7,0,0
./img_data/img_A03_kripke_160.jpg,280,10000,210,129,68,146,123,195,128,74,8,0,0
./img_data/img_A03_kripke_170.jpg,280,123,208,145,68,146,123,195,128,74,9,0,0
./img_data/img_A03_kripke_180.jpg,280,123,208,129,68,146,123,195,128,74,9,0,0
./img_data/img_A03_kripke_190.jpg,281,123,209,129,68,146,123,195,128,74,10,0,0
./img_data/img_A03_kripke_200.jpg,281,123,209,129,68,146,123,195,128,74,10,0,0
./img_data/img_A03_kripke_210.jpg,284,123,210,129,68,146,123,195,128,74,11,0,0
./img_data/img_A03_kripke_220.jpg,284,123,210,129,68,146,123,195,128,74,11,0,0
./img_data/img_A03_kripke_230.jpg,146,123,196,129,68,146,123,192,128,74,12,0,0
./img_data/img_A03_kripke_240.jpg,146,123,213,129,74,146,123,192,128,74,13,0,0
./img_data/img_A03_kripke_250.jpg,146,188,10000,129,75,146,185,198,128,74,13,0,0
./img_data/img_A03_kripke_260.jpg,146,187,10000,129,75,146,184,198,128,74,14,0,0
