img,left_15,left_30,left_45,left_60,left_75,right_15,right_30,right_45,right_60,right_75,speed,label,steer
./img_data/img_A03_lesgo_0.jpg,254,10000,222,129,68,131,112,94,131,62,0,2,0
./img_data/img_A03_lesgo_10.jpg,254,10000,222,129,68,131,112,94,131,62,0,0,-5766
./img_data/img_A03_lesgo_20.jpg,133,10000,222,129,68,131,112,94,131,62,0,0,-5766
./img_data/img_A03_lesgo_30.jpg,133,114,197,129,68,131,112,189,131,62,1,0,-5766
./img_data/img_A03_lesgo_40.jpg,134,10000,201,128,68,132,113,189,131,62,1,0,-5766
./img_data/img_A03_lesgo_50.jpg,257,115,198,128,68,132,113,192,131,62,2,0,-5766
./img_data/img_A03_lesgo_60.jpg,259,281,194,128,68,133,280,192,131,62,2,0,-5766
./img_data/img_A03_lesgo_70.jpg,136,116,194,128,73,134,114,192,143,62,3,0,-5766
./img_data/img_A03_lesgo_80.jpg,262,117,194,128,73,135,284,193,143,62,3,0,-5766
./img_data/img_A03_lesgo_90.jpg,139,118,201,128,73,136,116,97,151,62,4,0,-5766
./img_data/img_A03_lesgo_100.jpg,266,289,202,128,73,138,117,193,153,62,5,0,-5766
./img_data/img_A03_lesgo_110.jpg,141,119,203,128,73,139,118,98,150,62,5,0,-5766
./img_data/img_A03_lesgo_120.jpg,272,294,204,128,73,141,119,99,150,62,6,0,-5766
./img_data/img_A03_lesgo_130.jpg,144,122,205,128,64,142,297,191,150,62,6,0,-5766
./img_data/img_A03_lesgo_140.jpg,146,299,101,128,72,144,122,194,129,62,7,0,-5766
./img_data/img_A03_lesgo_150.jpg,146,123,207,128,64,144,301,101,127,62,7,0,-5766
./img_data/img_A03_lesgo_160.jpg,146,123,207,129,64,145,123,101,127,62,8,0,-5766
./img_data/img_A03_lesgo_170.jpg,278,123,207,129,64,145,123,101,127,62,9,0,-5766
./img_data/img_A03_lesgo_180.jpg,146,123,208,129,64,145,123,194,127,74,9,0,-5766
./img_data/img_A03_lesgo_190.jpg,146,123,208,129,64,145,123,194,127,74,10,0,-5766
./img_data/img_A03_lesgo_200.jpg,146,301,209,128,73,145,123,194,127,74,10,0,-5766
./img_data/img_A03_lesgo_210.jpg,283,297,195,128,64,146,123,194,127,74,11,0,-5766
./img_data/img_A03_lesgo_220.jpg,145,261,195,128,64,146,123,194,127,74,11,0,-5766
./img_data/img_A03_lesgo_230.jpg,145,122,195,128,73,146,123,194,127,74,12,0,-5766
./img_data/img_A03_lesgo_240.jpg,145,183,293,128,73,146,183,197,127,74,13,0,-5766
./img_data/img_A03_lesgo_250.jpg,145,183,195,128,73,146,183,197,127,74,13,0,-5766
./img_data/img_A03_lesgo_260.jpg,10000,183,293,128,73,146,188,197,127,74,14,0,-5766
./img_data/img_A03_lesgo_270.jpg,144,276,10000,128,73,146,187,197,127,74,14,0,-5766
./img_data/img_A03_lesgo_280.jpg,281,122,10000,128,73,147,123,197,127,76,15,0,-6364
./img_data/img_A03_lesgo_290.jpg,143,122,10000,128,73,146,282,197,127,75,15,0,-6364
./img_data/img_A03_lesgo_300.jpg,143,122,10000,128,73,146,282,197,127,62,16,0,-6364
./img_data/img_A03_lesgo_310.jpg,144,121,10000,128,73,147,124,197,127,62,17,0,-6364
